일시,최고기온,평균기온,일강수량
2019-01-01,-0.9,-4.4,
2019-01-02,0.0,-3.9,
2019-01-03,2.4,-2.6,
2019-01-04,3.5,-0.3,0.0
2019-01-05,0.5,-2.8,
2019-01-06,1.9,-2.7,
2019-01-07,2.5,-1.3,
2019-01-08,0.3,-2.9,
2019-01-09,-0.8,-4.6,
2019-01-10,2.1,-0.9,
2019-01-11,5.8,2.2,
2019-01-12,6.3,2.2,
2019-01-13,6.5,1.3,
2019-01-14,4.4,1.7,
2019-01-15,2.4,-1.9,
2019-01-16,-2.0,-4.9,0.6
2019-01-17,3.1,0.6,0.1
2019-01-18,6.1,1.3,
2019-01-19,8.5,3.8,
2019-01-20,3.1,-1.4,
2019-01-21,4.8,0.5,
2019-01-22,7.1,3.4,
2019-01-23,6.5,2.7,
2019-01-24,4.3,0.2,
2019-01-25,1.3,-1.1,
2019-01-26,1.6,-2.5,
2019-01-27,4.1,0.8,
2019-01-28,4.2,1.2,0.0
2019-01-29,4.0,0.0,
2019-01-30,6.1,1.7,
2019-01-31,1.6,-2.4,
2019-02-01,2.7,-0.9,
2019-02-02,7.2,2.9,0.0
2019-02-03,4.7,3.1,19.5
2019-02-04,1.8,-0.7,
2019-02-05,8.8,3.6,
2019-02-06,9.9,5.3,
2019-02-07,5.0,-2.9,0.0
2019-02-08,-3.6,-6.8,
2019-02-09,-2.8,-5.2,
2019-02-10,-2.9,-5.1,
2019-02-11,1.0,-2.6,
2019-02-12,2.2,-0.8,0.0
2019-02-13,1.1,-2.4,
2019-02-14,2.8,-1.8,
2019-02-15,1.2,-1.0,2.6
2019-02-16,0.0,-2.4,0.0
2019-02-17,2.8,-1.1,
2019-02-18,4.0,0.6,
2019-02-19,3.7,1.3,4.5
2019-02-20,4.7,2.0,
2019-02-21,6.4,2.1,
2019-02-22,8.4,3.1,
2019-02-23,13.2,6.3,
2019-02-24,11.0,5.2,
2019-02-25,8.6,3.6,
2019-02-26,9.8,4.7,
2019-02-27,11.2,6.0,
2019-02-28,10.7,5.5,
2019-03-01,10.3,5.5,
2019-03-02,11.6,6.7,
2019-03-03,13.5,7.9,
2019-03-04,13.3,7.8,
2019-03-05,10.7,6.8,
2019-03-06,10.8,7.0,0.0
2019-03-07,11.0,6.4,
2019-03-08,10.5,5.0,
2019-03-09,12.1,6.3,
2019-03-10,14.4,9.0,
2019-03-11,6.7,5.1,0.1
2019-03-12,7.4,4.3,
2019-03-13,6.9,3.8,
2019-03-14,8.8,5.3,
2019-03-15,11.0,5.2,1.5
2019-03-16,8.0,4.7,
2019-03-17,11.0,6.0,
2019-03-18,10.4,6.5,
2019-03-19,12.5,8.2,
2019-03-20,13.5,10.1,16.4
2019-03-21,10.4,6.6,4.7
2019-03-22,7.3,3.4,
2019-03-23,7.4,3.8,2.6
2019-03-24,7.9,4.8,
2019-03-25,11.3,7.4,
2019-03-26,13.9,9.4,
2019-03-27,13.5,9.5,
2019-03-28,12.4,7.8,
2019-03-29,11.4,7.9,0.0
2019-03-30,7.8,5.0,3.1
2019-03-31,7.9,4.8,
2019-04-01,9.9,6.0,
2019-04-02,11.2,6.7,
2019-04-03,11.8,7.3,
2019-04-04,11.9,8.0,
2019-04-05,14.8,10.5,
2019-04-06,10.9,9.4,0.0
2019-04-07,17.8,11.7,
2019-04-08,15.4,10.7,
2019-04-09,14.1,9.8,14.9
2019-04-10,10.0,7.1,3.8
2019-04-11,13.4,9.0,
2019-04-12,14.8,9.9,
2019-04-13,16.2,11.1,
