일시,최고기온,평균기온,일강수량
2019-01-01,-0.6,-5.0,
2019-01-02,0.2,-4.9,
2019-01-03,3.2,-3.5,
2019-01-04,4.1,-1.1,
2019-01-05,1.1,-2.8,
2019-01-06,2.7,-2.8,
2019-01-07,3.1,-1.9,
2019-01-08,0.5,-3.5,
2019-01-09,1.3,-4.7,
2019-01-10,3.0,-0.6,
2019-01-11,7.2,2.4,
2019-01-12,8.0,2.8,
2019-01-13,7.6,1.2,
2019-01-14,5.3,1.4,
2019-01-15,2.6,-1.7,0.0
2019-01-16,-1.1,-5.2,0.0
2019-01-17,4.0,-0.3,0.0
2019-01-18,6.7,0.6,
2019-01-19,8.5,3.6,
2019-01-20,4.0,-1.4,
2019-01-21,4.2,-1.2,0.0
2019-01-22,7.1,1.7,
2019-01-23,7.0,2.0,
2019-01-24,6.5,0.1,
2019-01-25,2.6,-1.2,
2019-01-26,2.4,-2.5,
2019-01-27,5.1,-0.1,
2019-01-28,4.5,1.2,0.0
2019-01-29,7.0,-0.2,
2019-01-30,6.6,1.8,
2019-01-31,2.3,-2.0,
2019-02-01,2.8,-2.1,0.3
2019-02-02,6.1,1.4,0.0
2019-02-03,4.9,3.3,16.0
2019-02-04,3.0,-0.6,
2019-02-05,10.1,2.8,
2019-02-06,9.3,5.1,
2019-02-07,6.3,-2.1,0.5
2019-02-08,-1.3,-6.1,
2019-02-09,-1.9,-5.4,
2019-02-10,-1.9,-5.0,
2019-02-11,2.0,-3.0,
2019-02-12,3.7,-0.6,0.0
2019-02-13,2.5,-2.1,
2019-02-14,6.3,-0.5,
2019-02-15,0.9,-0.8,2.2
2019-02-16,1.5,-2.7,0.2
2019-02-17,4.6,-1.8,
2019-02-18,5.9,0.9,
2019-02-19,3.0,1.4,4.6
2019-02-20,4.5,1.7,0.0
2019-02-21,9.0,2.4,
2019-02-22,10.8,4.0,
2019-02-23,14.5,6.8,
2019-02-24,13.7,6.3,
2019-02-25,10.2,4.7,
2019-02-26,12.0,5.2,
2019-02-27,14.0,7.8,
2019-02-28,12.8,6.6,
2019-03-01,13.0,6.6,
2019-03-02,14.7,7.8,
2019-03-03,16.1,9.4,
2019-03-04,16.3,9.9,
2019-03-05,12.9,8.4,
2019-03-06,12.4,8.4,
2019-03-07,12.7,7.0,
2019-03-08,13.4,6.1,
2019-03-09,14.9,7.2,
2019-03-10,15.3,10.1,
2019-03-11,10.0,6.6,0.0
2019-03-12,7.9,3.9,0.0
2019-03-13,8.5,3.5,0.0
2019-03-14,10.0,5.0,0.0
2019-03-15,11.3,5.5,3.5
2019-03-16,9.2,4.3,
2019-03-17,12.4,6.3,
2019-03-18,14.4,7.1,
2019-03-19,16.7,10.0,
2019-03-20,14.6,10.3,16.5
2019-03-21,11.1,7.1,3.3
2019-03-22,8.3,3.3,
2019-03-23,8.2,3.3,1.7
2019-03-24,9.7,4.3,
2019-03-25,11.5,7.3,
2019-03-26,17.6,11.4,
2019-03-27,16.2,11.6,
2019-03-28,14.6,9.4,
2019-03-29,15.1,9.2,
2019-03-30,8.4,5.2,1.8
2019-03-31,8.4,4.4,0.0
2019-04-01,11.3,5.5,
2019-04-02,13.0,6.7,
2019-04-03,13.6,7.6,
2019-04-04,15.7,9.2,
2019-04-05,17.2,11.4,0.0
2019-04-06,12.2,9.3,0.8
2019-04-07,20.3,12.6,
2019-04-08,17.2,11.6,
2019-04-09,13.9,9.2,17.4
2019-04-10,10.2,7.1,5.6
2019-04-11,15.7,9.5,
2019-04-12,18.4,11.4,
2019-04-13,17.9,11.8,
2019-04-14,13.6,9.6,1.7
2019-04-15,18.1,11.6,
2019-04-16,22.6,14.9,
2019-04-17,21.8,15.3,
2019-04-18,16.2,12.6,0.0
2019-04-19,19.7,13.8,
2019-04-20,19.1,14.3,1.2
2019-04-21,20.2,14.8,0.3
2019-04-22,28.2,19.3,
2019-04-23,25.5,20.4,0.0
2019-04-24,25.9,19.5,4.1
2019-04-25,17.2,13.2,11.3
2019-04-26,9.9,8.4,4.9
2019-04-27,18.2,11.6,
2019-04-28,16.6,12.9,0.0
2019-04-29,17.3,13.0,
2019-04-30,22.5,15.5,
2019-05-01,22.2,16.4,
2019-05-02,25.3,17.1,
2019-05-03,26.1,17.9,
2019-05-04,27.4,19.5,
2019-05-05,26.5,19.2,
2019-05-06,19.8,14.5,0.0
2019-05-07,21.9,15.0,
2019-05-08,21.3,15.6,
2019-05-09,22.9,16.6,
2019-05-10,26.8,17.8,
2019-05-11,28.3,20.3,
2019-05-12,28.9,21.6,
2019-05-13,22.8,18.7,0.0
2019-05-14,26.9,19.6,
2019-05-15,28.0,20.7,
2019-05-16,30.0,23.5,
2019-05-17,28.3,23.6,
2019-05-18,25.9,22.8,0.0
2019-05-19,21.6,19.4,22.0
2019-05-20,20.2,16.4,8.7
2019-05-21,23.8,17.2,
2019-05-22,26.5,19.5,
2019-05-23,29.2,22.1,
2019-05-24,33.4,24.2,
2019-05-25,28.6,23.4,
2019-05-26,31.1,24.5,
2019-05-27,22.3,17.8,7.1
2019-05-28,24.6,18.1,
2019-05-29,26.5,20.3,
2019-05-30,24.5,19.6,0.0
2019-05-31,23.3,19.1,
2019-06-01,23.7,18.9,
2019-06-02,27.8,21.1,
2019-06-03,29.5,23.1,
2019-06-04,29.0,22.6,
2019-06-05,29.6,23.0,
2019-06-06,25.1,21.2,7.9
2019-06-07,24.7,20.0,35.3
2019-06-08,27.6,21.9,
2019-06-09,26.5,21.6,2.5
2019-06-10,21.9,18.4,9.5
2019-06-11,26.1,20.5,
2019-06-12,26.4,21.5,
2019-06-13,28.8,23.0,
2019-06-14,28.4,23.0,
2019-06-15,27.4,21.9,2.1
2019-06-16,27.2,22.0,
2019-06-17,26.2,21.7,0.0
2019-06-18,24.8,20.8,13.8
2019-06-19,25.4,21.4,0.2
2019-06-20,27.8,22.7,
2019-06-21,26.1,22.1,0.2
2019-06-22,30.6,24.2,
2019-06-23,31.0,25.0,
2019-06-24,30.9,25.2,
2019-06-25,32.8,25.6,
2019-06-26,29.5,25.5,0.0
2019-06-27,31.2,25.5,1.4
2019-06-28,29.0,24.7,0.0
2019-06-29,27.7,23.1,1.5
2019-06-30,28.5,23.9,0.0
2019-07-01,28.9,23.9,
2019-07-02,30.1,24.4,
2019-07-03,27.4,24.1,
2019-07-04,32.8,25.4,
2019-07-05,35.0,27.6,0.0
2019-07-06,36.1,29.7,
2019-07-07,32.5,26.7,
2019-07-08,31.0,25.1,
2019-07-09,30.0,25.0,
2019-07-10,27.3,22.7,8.5
2019-07-11,25.9,21.9,2.9
2019-07-12,28.7,23.6,
2019-07-13,29.7,24.9,0.0
2019-07-14,31.6,25.9,
2019-07-15,27.4,23.8,7.7
2019-07-16,28.8,24.7,6.3
2019-07-17,29.2,25.6,0.7
2019-07-18,32.1,26.9,
2019-07-19,35.0,28.6,0.0
2019-07-20,31.9,28.0,1.1
2019-07-21,27.0,25.1,6.2
2019-07-22,31.0,26.7,0.1
2019-07-23,32.9,28.1,
2019-07-24,27.2,26.5,1.0
2019-07-25,27.4,26.3,9.7
2019-07-26,25.9,25.1,60.0
2019-07-27,33.4,28.4,0.6
2019-07-28,28.2,26.1,25.6
2019-07-29,30.0,27.5,0.5
2019-07-30,30.8,28.1,1.2
2019-07-31,27.5,25.8,62.3
2019-08-01,30.1,26.3,26.9
2019-08-02,33.1,28.4,
2019-08-03,36.0,29.4,3.0
2019-08-04,34.4,28.3,8.6
2019-08-05,35.9,30.5,
2019-08-06,36.8,31.6,
2019-08-07,30.3,26.9,8.0
2019-08-08,32.7,28.9,0.0
2019-08-09,34.6,29.8,
2019-08-10,36.5,31.5,
2019-08-11,35.7,30.4,6.7
2019-08-12,28.5,26.6,56.2
2019-08-13,35.3,29.2,6.4
2019-08-14,35.7,30.4,
2019-08-15,28.6,25.9,16.2
2019-08-16,29.5,25.9,0.1
2019-08-17,28.8,25.9,0.0
2019-08-18,30.7,25.6,
2019-08-19,31.3,26.3,
2019-08-20,32.8,28.2,
2019-08-21,30.4,27.0,1.3
2019-08-22,31.4,26.9,
2019-08-23,30.5,26.2,
2019-08-24,27.3,24.1,
2019-08-25,29.9,25.0,
2019-08-26,32.1,26.4,
2019-08-27,29.3,25.7,20.0
2019-08-28,30.2,26.1,
2019-08-29,26.4,23.4,36.9
2019-08-30,27.0,22.6,0.2
2019-08-31,28.9,23.5,
2019-09-01,27.8,23.7,
2019-09-02,29.7,24.4,
2019-09-03,28.0,24.1,0.0
2019-09-04,25.5,22.8,22.7
2019-09-05,27.6,23.0,36.4
2019-09-06,29.1,25.3,2.4
2019-09-07,29.5,25.7,2.8
2019-09-08,27.3,24.7,0.0
2019-09-09,28.0,25.1,0.0
2019-09-10,26.5,23.8,63.2
2019-09-11,28.7,24.3,7.6
2019-09-12,22.9,21.0,3.9
2019-09-13,29.3,23.3,0.1
2019-09-14,24.1,22.4,0.3
2019-09-15,30.0,24.2,
2019-09-16,30.5,24.5,
2019-09-17,29.0,23.5,
2019-09-18,25.4,21.0,
2019-09-19,26.0,19.5,
2019-09-20,24.2,19.6,
2019-09-21,22.1,19.6,
2019-09-22,19.6,18.6,0.4
2019-09-23,24.6,20.0,
2019-09-24,26.5,19.8,
2019-09-25,27.4,20.9,
2019-09-26,29.0,22.9,
2019-09-27,27.0,22.9,
2019-09-28,29.2,23.7,
2019-09-29,28.6,22.6,
2019-09-30,29.9,22.4,
2019-10-01,28.2,23.1,
2019-10-02,24.2,21.6,23.1
2019-10-03,27.3,22.4,4.6
2019-10-04,27.8,22.4,
2019-10-05,21.9,18.7,0.6
2019-10-06,22.7,18.1,
2019-10-07,17.9,14.8,25.4
2019-10-08,19.8,14.7,
2019-10-09,20.4,13.6,
2019-10-10,19.8,15.2,
2019-10-11,26.1,18.8,
2019-10-12,23.3,17.9,
2019-10-13,23.8,17.2,
2019-10-14,19.6,14.4,
2019-10-15,20.4,14.5,
2019-10-16,20.8,14.6,
2019-10-17,21.6,15.4,
2019-10-18,22.7,17.0,
2019-10-19,23.1,17.0,
2019-10-20,22.9,16.5,
2019-10-21,24.6,17.1,
2019-10-22,24.4,18.1,
2019-10-23,20.7,17.0,
2019-10-24,23.8,18.3,
2019-10-25,22.0,16.7,0.0
2019-10-26,14.9,10.0,
2019-10-27,17.4,11.0,
2019-10-28,17.7,12.9,1.7
2019-10-29,17.6,12.5,0.1
2019-10-30,17.7,11.2,
2019-10-31,19.7,14.8,
2019-11-01,20.5,14.9,
2019-11-02,18.7,13.6,
2019-11-03,22.1,14.7,
2019-11-04,20.3,13.8,
2019-11-05,18.4,12.4,
2019-11-06,16.5,11.0,
2019-11-07,13.6,9.2,
2019-11-08,13.0,6.8,
2019-11-09,17.2,9.5,
2019-11-10,15.3,10.0,11.8
2019-11-11,15.1,11.2,1.1
2019-11-12,14.5,9.3,
2019-11-13,11.3,7.2,7.5
2019-11-14,5.0,1.3,
2019-11-15,7.6,5.6,18.8
2019-11-16,12.7,6.8,
2019-11-17,10.5,8.3,21.1
2019-11-18,12.7,4.6,14.7
2019-11-19,4.0,0.2,0.0
2019-11-20,6.3,0.5,
2019-11-21,9.0,4.2,
2019-11-22,17.3,9.7,
2019-11-23,17.7,12.1,
2019-11-24,15.6,9.8,3.8
2019-11-25,4.6,,
2019-11-26,,,
2019-11-27,,,
2019-11-28,,,
2019-11-29,,,
2019-11-30,,,
2019-12-01,6.2,4.6,3.3
2019-12-02,2.8,-0.1,
2019-12-03,4.2,0.5,0.6
2019-12-04,7.2,2.0,0.0
2019-12-05,-0.2,-4.4,
2019-12-06,-1.0,-5.9,
2019-12-07,1.2,-2.4,0.1
2019-12-08,4.9,-0.9,
2019-12-09,8.0,3.2,0.0
2019-12-10,10.8,8.1,1.7
2019-12-11,9.8,6.3,0.2
2019-12-12,3.4,-0.7,
2019-12-13,5.9,2.1,1.0
2019-12-14,6.4,2.7,0.0
2019-12-15,11.0,5.3,
2019-12-16,12.9,7.8,
2019-12-17,10.2,7.7,9.8
2019-12-18,5.2,0.8,
2019-12-19,3.1,-0.8,0.0
2019-12-20,2.0,-1.1,0.0
2019-12-21,1.5,-1.2,0.6
2019-12-22,8.4,4.1,0.3
2019-12-23,5.2,3.4,2.9
2019-12-24,6.5,0.8,
2019-12-25,6.6,2.0,
2019-12-26,4.1,2.0,0.3
2019-12-27,2.6,-1.7,
2019-12-28,6.1,1.1,
2019-12-29,6.2,3.8,1.4
2019-12-30,6.8,2.7,0.4
2019-12-31,-4.5,-7.9,0.0
2020-01-01,0.3,-2.2,0.1
2020-01-02,3.8,1.0,
2020-01-03,4.6,-0.1,
2020-01-04,6.1,1.2,
2020-01-05,6.6,1.3,
2020-01-06,4.6,3.1,1.8
2020-01-07,7.7,6.3,46.3
2020-01-08,8.9,2.4,11.6
2020-01-09,2.0,-1.2,
2020-01-10,4.2,-0.6,
2020-01-11,3.9,-0.1,
2020-01-12,2.8,-1.0,
2020-01-13,0.2,-2.9,
2020-01-14,2.6,-2.3,
2020-01-15,2.2,-2.7,
2020-01-16,3.2,-1.7,
2020-01-17,4.9,-0.6,
2020-01-18,5.9,0.3,
2020-01-19,5.3,1.9,0.6
2020-01-20,5.5,0.7,
2020-01-21,5.5,-0.4,
2020-01-22,7.8,3.0,
2020-01-23,9.9,4.6,
2020-01-24,7.4,2.8,
2020-01-25,8.8,4.3,
2020-01-26,11.9,5.5,
2020-01-27,7.5,5.9,0.1
2020-01-28,9.9,6.8,0.0
2020-01-29,9.6,6.0,
2020-01-30,10.4,5.2,
2020-01-31,8.9,3.9,0.0
2020-02-01,7.6,2.6,
2020-02-02,5.3,1.5,
2020-02-03,3.0,-0.4,0.0
2020-02-04,3.9,-1.6,1.7
2020-02-05,-4.9,-8.3,
2020-02-06,0.4,-6.4,
2020-02-07,2.2,-1.7,0.0
2020-02-08,3.7,-0.1,0.0
2020-02-09,4.1,-0.5,0.0
2020-02-10,9.6,4.0,0.0
2020-02-11,14.6,6.8,
2020-02-12,8.2,7.4,6.7
2020-02-13,8.7,6.5,
2020-02-14,14.7,8.1,
2020-02-15,15.6,9.8,2.0
2020-02-16,7.7,-1.4,13.4
2020-02-17,-3.9,-5.9,1.0
2020-02-18,1.3,-4.1,
2020-02-19,6.4,1.0,
2020-02-20,10.8,4.6,
2020-02-21,10.9,6.7,4.2
2020-02-22,7.9,4.0,3.1
2020-02-23,8.0,2.5,
2020-02-24,12.2,7.0,
2020-02-25,9.4,6.7,16.6
2020-02-26,10.4,6.4,0.0
2020-02-27,12.5,6.1,
2020-02-28,5.9,4.5,3.9
2020-02-29,13.0,7.7,0.5
2020-03-01,10.1,5.8,0.2
2020-03-02,7.6,3.4,0.0
2020-03-03,10.5,4.8,
2020-03-04,4.6,2.2,0.0
2020-03-05,6.3,1.4,
2020-03-06,10.1,3.7,
2020-03-07,14.2,7.0,
2020-03-08,16.9,9.3,
2020-03-09,17.6,11.1,
2020-03-10,10.8,6.4,11.8
2020-03-11,8.3,3.8,
2020-03-12,13.3,6.8,
2020-03-13,8.7,4.9,0.5
2020-03-14,8.6,3.6,
2020-03-15,8.5,4.0,
2020-03-16,9.1,3.6,
2020-03-17,12.3,6.6,
2020-03-18,17.0,10.0,
2020-03-19,12.1,9.1,0.0
2020-03-20,14.0,8.8,
2020-03-21,19.5,12.8,
2020-03-22,16.5,11.0,
2020-03-23,17.0,10.6,
2020-03-24,17.9,11.4,
2020-03-25,19.2,12.5,
2020-03-26,20.6,14.8,1.8
2020-03-27,15.8,11.9,2.0
2020-03-28,12.8,7.7,
2020-03-29,16.1,8.7,
2020-03-30,16.9,10.2,
2020-03-31,18.6,11.9,
2020-04-01,17.4,11.3,
2020-04-02,15.5,9.3,
2020-04-03,16.3,10.0,
