,승차역,2019년 10월,2019년 11월,2019년 12월,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2020년 10월,2020년 11월,2020년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월
0,수서,680627,684894,695510,627146,579027,626627,626476,654936,625416,644584,648931,637593,507604,537641,352151,655365,453472,266782,370144,496445,510535,560347,496939,403908
1,동탄,149262,150558,152622,134649,125045,137216,137221,144425,137403,141561,143062,140114,114965,121058,83938,150813,100071,63428,82716,109451,112983,124456,112553,89919
2,지제,64648,65795,69102,53606,51730,57297,57033,59610,59050,60158,62961,59445,59315,61799,46086,65428,47317,32615,41338,54299,56506,62884,56031,48131
3,천안아산,96037,98100,97055,82968,73292,87634,86203,89797,87230,87780,87910,87052,74026,76771,55157,88319,63715,40176,55122,72209,74169,79779,69756,59263
4,오송,88445,89633,89254,75126,67038,78044,79308,82051,79902,81995,81211,76981,71526,75547,50892,80749,59682,37799,50840,69387,72577,78213,66745,56534
5,대전,148626,152219,148254,133009,119751,138613,135709,141300,136225,136453,136435,135304,109316,114648,75974,133422,94347,54724,78789,109443,105973,111614,100473,86503
6,김천구미,24957,25451,25069,24859,22916,24416,24122,24592,23651,24779,25034,24195,20539,20048,13741,24112,16225,8040,13812,19555,20213,22191,19536,16514
7,동대구,231513,240236,235992,211786,204095,221352,214430,223357,214728,217093,219882,219086,176132,176669,118341,226087,131694,42343,92000,151489,159304,182367,164332,129131
8,신경주,38466,34811,30528,25806,25611,29644,32595,32136,30271,28956,32458,30197,25436,26991,14755,28968,18356,7902,13553,21865,21577,24851,26231,17188
9,울산,87278,89451,86819,80616,77763,82627,79094,83211,80737,81514,84048,80732,64697,65499,42382,86638,56724,30884,46116,67072,64353,69384,63079,46986
10,부산,263159,269276,272813,247548,239363,244573,236391,258800,249770,249718,266956,239120,171645,180291,106404,260389,160171,80856,118067,176510,174075,198861,194042,123529
11,공주,2836,2895,2587,2031,2099,2067,2410,2698,2367,2566,2556,2722,2273,2200,1521,2752,1641,1076,1489,2130,1969,2175,2045,1561
12,익산,63429,62908,62515,54140,50672,56883,55910,61182,57638,56490,58393,59037,48432,49646,32095,60060,40433,28934,35719,49167,47563,49671,46286,36575
13,정읍,13021,14193,11864,10410,10582,10791,10979,11599,10843,10797,11763,11909,9977,11013,6906,12153,7823,5900,7325,10399,9354,9874,9997,7248
14,광주송정,129726,133044,132115,117524,110589,116452,116820,123519,118270,122288,122044,122351,97567,97568,67262,126873,81959,57555,70600,99200,93692,83830,87304,67134
15,나주,12904,12835,12978,12069,11667,11843,12667,12807,12065,12199,12934,12298,10811,10748,7516,13012,9237,6959,8380,11098,10628,11211,9887,8047
16,목포,28284,26840,26482,23265,22896,22923,23033,24969,23839,23674,27230,25522,21269,20607,14226,26608,17296,11788,14341,21437,20199,19677,22051,14364
