승차역,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월
수서,627146,579027,626627,626476,654936,625416,644584,648931,637593,680627,684894,695510,655365,453472,266782,370144,496445,510535,560347,496939,403908,507604,537641,352151,331185,393004,527154,543125,575511,566518,518227,508508,494279
동탄,134649,125045,137216,137221,144425,137403,141561,143062,140114,149262,150558,152622,150813,100071,63428,82716,109451,112983,124456,112553,89919,114965,121058,83938,82989,93756,122127,125644,137190,130916,121664,123029,120747
평택지제,53606,51730,57297,57033,59610,59050,60158,62961,59445,64648,65795,69102,65428,47317,32615,41338,54299,56506,62884,56031,48131,59315,61799,46086,44234,49866,65723,69532,73744,70748,68011,66719,66177
천안아산,82968,73292,87634,86203,89797,87230,87780,87910,87052,96037,98100,97055,88319,63715,40176,55122,72209,74169,79779,69756,59263,74026,76771,55157,52421,56311,78160,81130,84758,82975,78128,76731,74256
오송,75126,67038,78044,79308,82051,79902,81995,81211,76981,88445,89633,89254,80749,59682,37799,50840,69387,72577,78213,66745,56534,71526,75547,50892,48021,53829,75128,76438,81271,81911,76390,73187,69704
대전,133009,119751,138613,135709,141300,136225,136453,136435,135304,148626,152219,148254,133422,94347,54724,78789,109443,105973,111614,100473,86503,109316,114648,75974,70141,82707,113141,113195,121709,117375,108910,104454,103228
김천구미,24859,22916,24416,24122,24592,23651,24779,25034,24195,24957,25451,25069,24112,16225,8040,13812,19555,20213,22191,19536,16514,20539,20048,13741,13051,15650,20386,20985,20811,20285,19929,19734,19120
동대구,211786,204095,221352,214430,223357,214728,217093,219882,219086,231513,240236,235992,226087,131694,42343,92000,151489,159304,182367,164332,129131,176132,176669,118341,111872,134276,171431,176510,196997,180620,168437,168000,169063
신경주,25806,25611,29644,32595,32136,30271,28956,32458,30197,38466,34811,30528,28968,18356,7902,13553,21865,21577,24851,26231,17188,25436,26991,14755,14542,18913,24934,28402,30248,28072,26548,27621,25727
울산,80616,77763,82627,79094,83211,80737,81514,84048,80732,87278,89451,86819,86638,56724,30884,46116,67072,64353,69384,63079,46986,64697,65499,42382,42945,50322,63809,62959,67423,66216,62365,63567,61659
부산,247548,239363,244573,236391,258800,249770,249718,266956,239120,263159,269276,272813,260389,160171,80856,118067,176510,174075,198861,194042,123529,171645,180291,106404,108041,138059,172667,169860,199077,196141,175719,167889,162391
공주,2031,2099,2067,2410,2698,2367,2566,2556,2722,2836,2895,2587,2752,1641,1076,1489,2130,1969,2175,2045,1561,2273,2200,1521,1456,1626,2142,2337,2705,2567,2285,2419,2296
익산,54140,50672,56883,55910,61182,57638,56490,58393,59037,63429,62908,62515,60060,40433,28934,35719,49167,47563,49671,46286,36575,48432,49646,32095,31537,35566,49874,49611,54729,52298,46600,47477,46250
정읍,10410,10582,10791,10979,11599,10843,10797,11763,11909,13021,14193,11864,12153,7823,5900,7325,10399,9354,9874,9997,7248,9977,11013,6906,6535,7666,9763,10020,11360,10613,9908,10724,10245
광주송정,117524,110589,116452,116820,123519,118270,122288,122044,122351,129726,133044,132115,126873,81959,57555,70600,99200,93692,83830,87304,67134,97567,97568,67262,66019,72704,95534,99057,107834,103188,89632,91653,90508
나주,12069,11667,11843,12667,12807,12065,12199,12934,12298,12904,12835,12978,13012,9237,6959,8380,11098,10628,11211,9887,8047,10811,10748,7516,6940,8268,10808,11475,11886,11757,10742,10775,10288
목포,23265,22896,22923,23033,24969,23839,23674,27230,25522,28284,26840,26482,26608,17296,11788,14341,21437,20199,19677,22051,14364,21269,20607,14226,13850,15804,19834,20961,23197,21754,19785,21340,19622
